numid,plant.genus,plant.species,frug.taxon,frug.genus,frug.species,"germ effect (pos, neg, no, NA)","rate effect (pos, neg, no, NA)",compare against,fleshy fruit? (yes or no),gut passed prop germ,no germ,gut passed sample size,comparison prop germ,no germ,comparison sample size,notes about proportion and sample size,requests for help,help assigned to,notes,name,name2
76,Solanum,lycocarpum,non-flying mammal other than primate,Chrysocyon,brachyurus,no,NA,mechanically cleaned fruit,yes,0.6,0.4,30,0.133,0.867,30,,,,locality UFSC,Alex,Evan
76,Solanum,lycocarpum,non-flying mammal other than primate,Chrysocyon,brachyurus,no,NA,mechanically cleaned fruit,yes,0.3,0.7,30,0.633,0.367,30,,,,locality UFSC,Alex,Evan
76,Solanum,lycocarpum,non-flying mammal other than primate,Chrysocyon,brachyurus,pos,NA,mechanically cleaned fruit,yes,0.117,0.883,60,0.283,0.717,60,,,,locality UFSC,Alex,Evan
76,Solanum,lycocarpum,non-flying mammal other than primate,Chrysocyon,brachyurus,pos,NA,mechanically cleaned fruit,yes,0.433,0.567,30,0.367,0.633,30,,,,locality UFSC,Alex,Evan
76,Solanum,lycocarpum,non-flying mammal other than primate,Chrysocyon,brachyurus,no,NA,mechanically cleaned fruit,yes,0,1,180,0,1,180,,,,locality EEJA,Alex,Evan
76,Solanum,lycocarpum,non-flying mammal other than primate,Chrysocyon,brachyurus,neg,NA,mechanically cleaned fruit,yes,0.26,0.74,50,0.58,0.42,50,,,,locality EEJA,Alex,Evan
76,Solanum,lycocarpum,non-flying mammal other than primate,Chrysocyon,brachyurus,neg,NA,mechanically cleaned fruit,yes,0.28,0.72,50,0.76,0.24,50,,,,locality EEJA,Alex,Evan
76,Solanum,lycocarpum,non-flying mammal other than primate,Chrysocyon,brachyurus,no,NA,mechanically cleaned fruit,yes,0.64,0.36,50,0.82,0.18,50,,,,locality EEJA,Alex,Evan
76,Solanum,lycocarpum,non-flying mammal other than primate,Chrysocyon,brachyurus,pos,NA,mechanically cleaned fruit,yes,0.68,0.32,50,0.44,0.56,50,,,,locality EEJA,Alex,Evan
76,Solanum,lycocarpum,non-flying mammal other than primate,Chrysocyon,brachyurus,pos,NA,mechanically cleaned fruit,yes,0.86,0.14,50,0.58,0.42,50,,,,locality EEJA,Alex,Evan
78,Rubus,spp,non-flying mammal other than primate,Martes,sp.,no,NA,mechanically cleaned fruit,yes,0.065,0.935,2409,0.01,0.99,200,,,,,Alex,Evan
78,Rubus,idaeus,non-flying mammal other than primate,Martes,sp.,no,NA,mechanically cleaned fruit,yes,0.239,0.761,3304,0.178,0.822,400,,,,,Alex,Evan
78,Vaccinium,myrtillus,non-flying mammal other than primate,Martes,sp.,pos,NA,mechanically cleaned fruit,yes,0.807,0.193,700,0.362,0.638,850,,,,,Alex,Evan
110,Casearia,lasiophylla,non-flying mammal,Nasua,nasua,no ,no,depulp,yes,0.814,0.186,390,0.842,0.158,120,,,,,AMG,Alex
110,Cecropia,pachystachya,non-flying mammal,Nasua,nasua,no ,no,depulp,yes,0.693,0.307,390,0.763,0.237,450,,,,,AMG,Alex
110,Ficus,obtusifolia,non-flying mammal,Nasua,nasua,no ,no,depulp,yes,0.86,0.14,390,0.8,0.2,180,,,,,AMG,Alex
110,Guazuma,ulmifolia,non-flying mammal,Nasua,nasua,no ,no,depulp,yes,0.073,0.927,240,0.077,0.923,690,,,,,AMG,Alex
110,Lithraea,molleoides,non-flying mammal,Nasua,nasua,no ,no,depulp,yes,0.033,0.967,60,0.267,0.733,60,,,,,AMG,Alex
110,Myrcia,splendens,non-flying mammal,Nasua,nasua,pos,no,depulp,yes,0.733,0.267,60,0.996,0.004,480,,,,,AMG,Alex
110,Lithraea,molleoides,non-flying mammal,Nasua,nasua,no ,no,with pulp,yes,0.033,0.967,60,0.13,0.87,300,,,,"for a few of their controls, they left pulp on extracted seeds",AMG,Alex
110,Myrcia,splendens,non-flying mammal,Nasua,nasua,pos,no,with pulp,yes,0.733,0.267,60,0.247,0.753,360,,,,"for a few of their controls, they left pulp on extracted seeds",AMG,Alex
111,Diospyros,egrettarum,reptile,Aldabrachelys,gigantea,pos,pos,depulp,yes,0.42,0.58,300,0.12,0.88,300,,,,,AMG,Alex
