"","Paper I.D.","First author","Paper name","Journal","Year","weblink","focal frugivore species","focal plant species","geographic location","country","location1","location2","location3","feeding trial? ","collect scat samples & germinate? ","notes"
"133","Jerozolimski, A. Oecologia 2009","Jerozolimski, A.","Are tortoises important seed dispersers in Amazonian forests?","Oecologia",2009,"http://link.springer.com/article/10.1007/s00442-009-1396-8","tortoise Chelonoidis denticulata","Genipa americana, Jacaratia spinosa","Brazil","Brazil","Mainland","New World","Mainland","no","yes","Ingestion had no adverse effect on germination"
"134","Colon, C. THE RAFFLES BULLETIN OF ZOOLOGY 2013","Colon, C.","THE IMPACT OF GUT PASSAGE BY BINTURONGS (ARCTICTIS BINTURONG) ON SEED GERMINATION","THE RAFFLES BULLETIN OF ZOOLOGY",2013,"http://lkcnhm.nus.edu.sg/nus/pdf/PUBLICATION/Raffles%20Bulletin%20of%20Zoology/Past%20Volumes/RBZ%2061(1)/61rbz417-421.pdf","Binturongs (Arctictis binturong)","Dimocarpus longan, Carica papaya, Manilkara zapota","Singapore","Singapore","Mainland","Old World","Mainland","yes","yes","The germination rate of longan seeds ingested by binturong was signifi cantly lower than that control seeds, while for the other two species there were no differences. All three species germinated approximately three days faster after gut passage, which may increase seedling survival."
"135","Jordaan, L. Biological invasions 2012","Jordaan, L.","Wahlberg’s epauletted fruit bat (Epomophorus wahlbergi) as a potential dispersal agent for fleshy-fruited invasive alien plants: effects of handling behaviour on seed germination","Biological invasions",2012,"http://link.springer.com/article/10.1007/s10530-011-0131-7","Wahlberg’s epauletted fruit bat (Epomophorus wahlbergi)","Psidium guajava, Melia azedarach, Eriobotrya japonica, Morus alba, Epomophorus wahlbergi","South Africa.","South Africa","Mainland","Old World","Mainland","yes","yes","Ingestion and spitting out helped increase germination"
"136","Jordaan, L. South African Journal of Botany 2012","Jordaan, L.","Comparison of germination rates and fruit traits of indigenousSolanum giganteum and invasive Solanum mauritianum in South Africa","South African Journal of Botany",2012,"http://www.sciencedirect.com/science/article/pii/S0254629912000099","Red-winged Starlings (Onychognathus morio Sturnidae), Speckled Mousebirds (Colius striatus Coliidae)","Solanum giganteum, Solanum mauritianum","South Africa","South Africa","Mainland","Old World","Mainland","yes","yes","For both plant species, ingested and de-pulped seeds had similar germination success and mean daily germination, irrespective of frugivore type. However, pulp removal was important for S. giganteum. The type of avian frugivore affected the onset of germination, with the comparatively larger Red-winged Starlings promoting earlier germination of both S. mauritianum and S. giganteum seeds when compared to their controls, except for de-pulped S. mauritianum. These germinated at the same time as ingested S. mauritianum, but significantly earlier than de-pulped S. giganteum."
"137","Ramires, M. The Journal of the Torrey Botanical Society 2009","Ramires, M.","Germination of Psittacanthus schiedeanus (mistletoe) seeds after passage through the gut of Cedar Waxwings and Grey Silky-flycatchers1","The Journal of the Torrey Botanical Society",2009,"http://www.bioone.org/doi/full/10.3159/09-RA-023.1","Cedar Waxwings, Grey Silky-flycatchers","Psittacanthus schiedeanus (mistletoe)","Veracruz, México ","Mexico","Mainland","New World","Mainland","no","no","fruits of Psittacanthus schiedeanus that are eaten by birds will germinate and those that are not eaten and digested will not germinate"
"138","Wilson, A. South African Journal of Botany 2012","Wilson, A.","Knysna Turacos (Tauraco corythaix) do not improve seed germination of ingested fruit of some indigenous South African tree species","South African Journal of Botany",2012,"http://www.sciencedirect.com/science/article/pii/S0254629911000640","Knysna Turacos (Tauraco corythaix)","Solanum giganteum, Syzygium cordatum , Bridelia micrantha , Celtis africana , Clerodendrum glabrum, Ficus lutea, Ficus natalensis, Ficus petersii, Ficus sur, Grewia occidentalis, Mimusops caffra, Rhamnus prinoides","South Africa.","South Africa","Mainland","Old World","Mainland","yes","yes","Seed ingestion by Knysna Turacos did not influence the rate at which seeds germinated in 83% of the tree species, but ingestedFicus lutea and Ficus natalensis seeds germinated significantly sooner than whole fruit seeds"
"139","Valenta, K. American Journal of Primatology 2009","Valenta, K.","Effects of gut passage, feces, and seed handling on latency and rate of germination in seeds consumed by capuchins (Cebus capucinus)","American Journal of Primatology",2009,"http://onlinelibrary.wiley.com/doi/10.1002/ajpa.20982/abstract","Capuchins (Cebus capucinus)","Genipa americana, Sciadodendron excelsum, Trichilia martiana, Acacia collinsii, Casearia arguta","Costa Rica","Costa RIca","Mainland","New World","Mainland","no","yes","Ingestion helped germination in most plant species"
"140","Agmen, F. African Journal of Ecology 2010","Agmen, F.","Seed dispersal by tantalus monkeys (Chlorocebus tantalus tantalus) in a Nigerian montane forest","African Journal of Ecology",2010,"http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2028.2009.01190.x/full","tantalus monkeys (Chlorocebus tantalus tantalus)","Aframomum angustifolium, Bridelia speciosa, Ficus spp., Harungana madagascariensis, Landophia sp, Leea guineensis, Rytigynia umbellulata ","Nigeria","Nigeria","Mainland","Old World","Mainland","no","yes","Ingestion had varying effects depending on species"
"141","Chama, L. South African Journal of Botany 2013","Chama, L.","Do frugivores enhance germination success of plant species? An experimental approach","South African Journal of Botany",2013,"http://www.sciencedirect.com/science/article/pii/S0254629913002603","Speckled Mousebird (Colius striatus), Red-winged Starling (Onychognathus morio), Purple-crested Turaco (Tauraco porphyreolophus), Knysna Turaco (Tauraco corythiax)","Antidesma venosum, Bridelia micrantha, Celtis africana, Clerodendrum glabrum, Croton sylvaticus, Harpephyllum caffrum, Phoenix reclinata, Protorhus longifolia, Rapanea melanophloeos, Schinus terebinthifolius, Serasia rehmanniana, Searsia chirindensis, Shirakiopsis elliptica, Syzgium cordatum, Syzygium paniculata, Trema orientalis","South Africa","South Africa","Mainland","Old World","Mainland","yes","yes","Both seedling emergence and germination probability neither differed among the bird species nor in comparison to manually depulped seeds or whole fruits. Depulping improved germination though."
"142","Cantor, M. Biota Neotrop 2010","Cantor, M.","Potential seed dispersal by Didelphis albiventris(Marsupialia, Didelphidae) in highly disturbed environment","Biota Neotrop",2010,"http://www.scielo.br/scielo.php?pid=S1676-06032010000200004&script=sci_arttext","Didelphis albiventris","Morus nigra L., Psidium guajava L., Piper amalago L., Passiflora edulis Sims, Cecropia pachystachya Trécul","Southeastern Brazil","Brazil","Mainland","New World","Mainland","no","yes","Effects of ingestion varied by species"
"143","Thabethe, V. Biological invasions 2015","Thabethe, V.","Ingestion by an invasive parakeet species reduces germination success of invasive alien plants relative to ingestion by indigenous turaco species in South Africa","Biological invasions",2015,"http://link.springer.com/article/10.1007/s10530-015-0932-1","Knysna turaco (Tauraco corythaix) , purple-crested turaco (Gallirex porphyreolophus), rose-ringed parakeets (Psittacula krameri)","Solanum mauritianum, Cinnamomum camphora, Psidium guajava, Morus alba","South Africa","South Africa","Mainland","Old World","Mainland","yes","yes","Ingestion by turacos helped germination, while parakeet ingestion killed the seeds. "
"144","Nogales, M. Journal of Ecology 1998","Nogales, M. ","Shrikes, lizards and Lycium intricatum (Solanaceae) fruits: a case of indirect seed dispersal on an oceanic island (Alegranza, Canary Islands)","Journal of Ecology",1998,"http://www.jstor.org.proxy.lib.iastate.edu/stable/2648580?seq=1#page_scan_tab_contents","Atlantic lizards (Gallotia atlantica), shrikes (Lanius excubitor)","Lycium intricatum (Solanaceae)","Alegranza, Canary Islands","Spain","Island","Old World","Island","yes","yes","Ingestion by birds significantly increased germination over the control and fruit ingested by lizards. "
"145","Jacomassa, F. Acta Oecologica 2010","Jacomassa, F.","Birds and bats diverge in the qualitative and quantitative components of seed dispersal of a pioneer tree","Acta Oecologica",2010,"http://www.sciencedirect.com/science/article/pii/S1146609X10000767","Pteroglossus bailloni, Trichothraupis melanops, Tachyphonus coronatus, Sturnira lilium, Artibeus lituratus","Solanum granuloso-leprosum","south Brazil","Brazil","Mainland","New World","Mainland","no","yes","birds improved the germination performance of seeds, bats had a neutral effect"
"146","Castilla, A. Acta Oecologica 1999","Castilla, A.","Podarcis lilfordi from the Balearic islands as a potential disperser of the rare Mediterranean plant Withania frutescens","Acta Oecologica",1999,"http://www.sciencedirect.com/science/article/pii/S1146609X99800228","Podarcis lilfordi","Withania frutescens","Cabrera National Park, Balearics, Mediterranean, Spain","Spain","Island","Old World","Island","yes","yes","Gut passage did not impare germination"
"147","Rodríguez-Pérez, J. Plant Ecology 2010","Rodríguez-Pérez, J.","Seed dispersal effectiveness in a plant–lizard interaction and its consequences for plant regeneration after disperser loss","Plant Ecology",2010,"http://link.springer.com/article/10.1007/s11258-009-9671-7","Podarcis lilfordi","Daphne rodriguezii","Menorca Island","Spain","Island","Old World","Island","no","yes","Ingestion had no effect on germination"
"148","Rosalino, L. Annales Zoologici Fennici 2010","Rosalino, L.","The Role of Carnivores as Mediterranean Seed Dispersers","Annales Zoologici Fennici",2010,"http://www.jstor.org/stable/23736920?seq=1#page_scan_tab_contents","red foxes, weasels, stone martens, Eurasian badgers, common genets, Egyptian mongooses","blackberries, figs, olives, pears, strawberry tree, vine grapes","Serra de Grândola, a coastal mountain area of southwestern Portugal ",NA,"Mainland","Old World","Mainland","no","yes","We detected that several species (e.g. badgers, foxes, genets) had a significant positive effect on germination rates of seed of at least one fruit pland and one species (stone marten) had deleterious effects on most seeds."
"149","Castilla, A. Acta Oecologica 2000","Castilla, A.","Does passage time through the lizard Podarcis lilfordi’s guts affect germination performance in the plant Withania frutescens?","Acta Oecologica",2000,"http://www.sciencedirect.com/science/article/pii/S1146609X0000120X","Podarcis lilfordi","Withania frutescens","Cabrera National Park, Balearics, Mediterranean, Spain","Spain","Island","Old World","Island","yes","yes","Gut passage time had no effect on germination"
"150","Borchert, M. Western North American Naturalist 2011","Borchert, M.","Desiccation Sensitivity and Heat Tolerance of Prunus ilicifolia Seeds Dispersed by American Black Bears (Ursus americanus)","Western North American Naturalist",2011,"http://www.bioone.org/doi/abs/10.3398/064.070.0405","American Black Bears (Ursus americanus)","hollyleaf cherry (Prunus ilicifolia)","Western U.S. chaparral","United States","Mainland","New World","Mainland","no","yes","Prunus ilicifolia seeds collected from bear scats were largely undamaged; the vast majority of these seeds germinated. In some cases, germination rate was higher for seeds from scats than for seeds from intact fruits."
"151","Fedriani, J. Ecology 2011","Fedriani, J.","Dangerous liaisons disperse the Mediterranean dwarf palm: fleshy-pulp defensive role against seed predators","Ecology",2011,"http://onlinelibrary.wiley.com/doi/10.1890/09-2194.1/full","Eurasian badger (Meles meles)","Mediterranean dwarf palm (Chamaerops humilis)","the west bank of the Guadalquivir River in southwestern Spain","Spain","Mainland","Old World","Mainland","no","yes","Ingestion helped seeds"
"152","González-Di Pierro Biotropica 2011","González-Di Pierro","Effects of the Physical Environment and Primate Gut Passage on the Early Establishment of Ampelocera hottlei Standley in Rain Forest Fragments","Biotropica",2011,"http://onlinelibrary.wiley.com/doi/10.1111/j.1744-7429.2010.00734.x/full","black howler monkeys (Alouatta pigra)","Ampelocera hottlei (Ulmaceae)","southern Chiapas, Mexico","Mexico","Mainland","New World","Mainland","no","yes","Ingestion helped seeds grown in fragments"
"153","Griffiths, C. Current Biology 2011","Griffiths, C.","Resurrecting Extinct Interactions with Extant Substitutes","Current Biology",2011,"http://www.sciencedirect.com/science/article/pii/S0960982211003460","Aldabra giant tortoises (Aldabrachelys gigantea)","Diospyros egrettarum (Ebenaceae)","Mauritius","Mauritius","Island","Old World","Island","no","yes","Ingestion allowed germination to happen. An example of the recreation of ecological relationships. "
"154","Guerta, R.S. Biota Neotrop. 2011","Guerta, R.S.","Bird frugivory and seed germination of Myrsine umbellata and Myrsine lancifolia (Myrsinaceae) seeds in a cerrado fragment in southeastern Brazil","Biota Neotrop. ",2011,"http://www.scielo.br/scielo.php?pid=S1676-06032011000400005&script=sci_arttext&tlng=es","Birds","Myrsine umbellata, Myrsine lancifolia","Brazil","Brazil","Mainland","New World","Mainland","no","yes","Ingestion stripped fruit of pulp and allowed it germinate"
"155","Rodrigues-Perez, J. Functional Ecology 2005","Rodrigues-Perez, J.","Effect of seed passage through birds and lizards on emergence rate of mediterranean species: differences between natural and controlled conditions","Functional Ecology",2005,"http://onlinelibrary.wiley.com/doi/10.1111/j.0269-8463.2005.00971.x/full","Turdus merula,  Podarcis pityusensis ","Crataegus monogyna (Rosaceae), Ephedra fragilis (Ephedraceae), Juniperus phoenicea (Cupressaceae), Osyris alba (Santalaceae), Pistacia lentiscus(Anarcadiaceae), Rhamnus alaternus and R. ludovici-salvatoris (Rhamnaceae, the latter endemic to the Balearic Islands), Rubus ulmifolius (Rosaceae), Rubia peregrina (Rubiaceae), Solanum luteum, Solanum nigrum (Solanaceae), Smilax aspera (Smilaceae)","Balearic Islands","Spain","Island","Old World","Island","yes","yes","Extremely variable results"
"156","Traveset Ecology 2008","Traveset","Seed trait changes in dispersers' guts and consequences for germination and seedling growth","Ecology",2008,"http://onlinelibrary.wiley.com/doi/10.1890/07-0094.1/abstract","Eurasian Blackbirds (Turdus merula)","Phillyrea angustifoli, Myrtus communis","Port des Canonge, Mallorca, Spain","Spain","Island","Old World","Island","yes","yes","Gut passage greatly increased germination rate, especially in Myrtus"
"157","Padrón,B. Biological invasions 2011","Padrón,B.","Integration of invasive Opuntia spp. by native and alien seed dispersers in the Mediterranean area and the Canary Islands","Biological invasions",2011,"http://link.springer.com/article/10.1007/s10530-010-9872-y","Birds, Mammals, reptiles","Opuntia","Mediteranean Islands",NA,"Island","Old World","Island","no","yes","Ingestion helped some species germination, but it depended on the plant species and the disperser"
"158","Castilla, M. Munibe Ciencias Naturales 2009","Castilla, M.","The lizard Podarcis lilfordi as a potential disperser of the Solanaceae plant Lycopersicon esculentum: Can legitimate dispersers indirectly promote plant invasions?","Munibe Ciencias Naturales",2009,"http://www.aranzadi.eus/fileadmin/docs/Munibe/2009185194CN.pdf","Balearic lizard (Podarcis lilfordi)","Lycopersicon esculentum","Cabrera National Park, Balearics, Mediterranean","Spain","Island","Old World","Island","yes","yes","Gut passage had not effect on germination"
"159","Reid, S. Plant Ecology 2011","Reid, S.","Avian gut-passage effects on seed germination of shrubland species in Mediterranean central Chile","Plant Ecology",2011,"http://link.springer.com/article/10.1007/s11258-010-9796-8","birds ","Azara dentata (Flacourtiaceae), Schinus polygamus, Schinus molle (Anacardiaceae), Cestrum parqui (Solanaceae), Maytenus boaria (Celastraceae).","Santiago, Chile","Chile","Mainland","New World","Mainland","no","yes","Avian gut-passage increased seed germinability in four of the five shrub species studied—primarily through deinhibition via pulp removal. "
"160","Mancilla-Leytón, J. Basic and Applied Ecology 2013","Mancilla-Leytón, J.","Effects of rabbit gut passage on seed retrieval and germination of three shrub species","Basic and Applied Ecology",2013,"http://www.sciencedirect.com/science/article/pii/S1439179113001023","rabbits (Oryctolagus cuniculus)","Crataegus monogyna, Myrtus communis, Pistacia lentiscus","Spain","Spain","Mainland","Old World","Mainland","yes","yes","Passage through the rabbit gut significantly increased seed germination in M. communis, and decreased it in C. monogyna"
"161","Voigta, F. Journal of Tropical Ecology 2011","Voigta, F. ","Interactions between the invasive tree Melia azedarach (Meliaceae) and native frugivores in South Africa","Journal of Tropical Ecology",2011,"http://journals.cambridge.org/action/displayAbstract?fromPage=online&aid=8281321&fileId=S0266467410000702","Seven bird species and one bat","Melia azedarach","South Africa","South Africa","Mainland","Old World","Mainland","no","yes","Ingestion had no effect on germination"
"162","Blake S Journal of Biogeography 2012","Blake S","Seed dispersal by Galapagos tortoises","Journal of Biogeography",2012,"http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2699.2011.02672.x/full","Galápagos tortoises (Chelonoidis nigra)","Psidium galapageium, Opuntia echios, Hippomane mancinella, Psidium guajava, Passiflora edulis","Santa Cruz Island, Galápagos","Ecuador","Island","New World","Island","no","yes","NO evidence that ingestion affected germination"
"163","Bravo, C. Seed Science Research 2014","Bravo, C.","Effects of great bustard (Otis tarda) gut passage on black nightshade (Solanumnigrum) seed germination","Seed Science Research",2014,"http://journals.cambridge.org.proxy.lib.iastate.edu/action/displayAbstract?fromPage=online&aid=9312973&fileId=S0960258514000178","great bustard (Otis tarda)","European black nightshade (Solanum nigrum)","Spain","Spain","Mainland","Old World","Mainland","yes","yes","Although ingested seeds germinated faster than non-ingested seeds, the former showed a lower germination percentage than the latter: 80–87% versus 99%."
"164","Helbig-Bonitz, M. African Journal of Ecology 2013","Helbig-Bonitz, M.","Fruit bats can disperse figs over different land-use types on Mount Kilimanjaro, Tanzania","African Journal of Ecology",2013,"http://onlinelibrary.wiley.com/doi/10.1111/aje.12090/full","Epomophorus wahlbergi","Ficus sur","Mount Kilimanjaro, Tanzania","Tanzania","Mainland","Old World","Mainland","yes","yes","Ingestion and gut passage had no effect on germination"
"165","Krefting, Laurits Ecological Monographs 1949","Krefting, Laurits","The Role of Some Birds and Mammals in Seed Germination","Ecological Monographs",1949,"http://www.jstor.org.proxy.lib.iastate.edu/stable/1943538?seq=2#page_scan_tab_contents","Ring-necked Pheasant (Phaasianus colchicus torquatus), Bobwhite quail (Colinus virginianus), Catbird (Dumetella carolinensis), Sharp-tailed Grouse (Pedioecetes phasianellus campestris), Eastern Robin (Turdus migratorius), Cedar Waxwing (Bombycilla cedrorum), Eastern Chimpmunk (Tamias striatus), Western chipmunk (Eulamias minimus), Deer mouse (Peromyscus maniculatus)","Gray dogwood, Redosier dogwood, tatarian honeysuckle, white mulberry, black cherry, choke cherry, smooth sumac, missouri gooseberry, wild rose, blackberry, blackcap raspberry, american elder, poison ivy, poison sumac, riverbank grape, wild sapsaparilla, red raspberry, blueberry","Continental U.S.","United States","Mainland","New World","Mainland","yes","yes","Review covering a lot of North American plant species and the effects of gut passage on the germination of their seeds"
"166","Holthuijzen, A. Canadian Journal of Botany 1985","Holthuijzen, A.","The avian seed dispersal system of eastern red cedar (Juniperus virginiana)","Canadian Journal of Botany",1985,"http://www.nrcresearchpress.com/doi/abs/10.1139/b85-208#.VrqSjPkrLIU","cedar waxwing (Bonzbycilln cedrorim), the yellow-rumped warbler (Detzdroicn coronnta)","eastern red cedar (Juniperus virginiana)","North America","United States","Mainland","New World","Mainland","yes","yes","Ingestion increased germination"
"167","Karubian, Duraes biotropica 2012","Karubian, Duraes","Mating Behavior Drives Seed Dispersal by the Long-wattled Umbrellabird Cephalopterus penduliger","biotropica",2012,"http://onlinelibrary.wiley.com/doi/10.1111/j.1744-7429.2012.00859.x/full","Long-wattled Umbrellabird (Cephalopterus penduliger)","Oenocarpus bataua, Vir oladixonii, Ficus crassiuscula","Northwest Ecuador","Ecuador","Mainland","New World","Mainland","no","no",NA
"168","Nowak, J. The American Midland Naturalist 2012","Nowak, J.","It is Good to be Eaten by a Bear: Effects of Ingestion on Seed Germination","The American Midland Naturalist",2012,"http://www.bioone.org/doi/abs/10.1674/0003-0031-167.1.205","Bears","buffaloberry, serviceberry, huckleberry","Glacier Bay National Park","United States","Mainland","New World","Mainland","no","yes","For all species, germination in the mechanically-extracted and gut-passed treatments exceeded that of the whole fruit treatment. "
"169","Ramírez, M. Plant Disease 2012","Ramírez, M.","Cross-Infection Experiments of Psittacanthus schiedeanus: Effects of Host Provenance, Gut Passage, and Host Fate on Mistletoe Seedling Survival","Plant Disease",2012,"http://apsjournals.apsnet.org/doi/abs/10.1094/PDIS-06-11-0509","Birds","Psittacanthus schiedeanus","Veracruz, México ","Mexico","Mainland","New World","Mainland","no","yes","Ingestion had no effect on germination"
"170","Razafindratsima, O. Ecotropica 2012","Razafindratsima, O.","seed dispersal by red-ruffed lemurs: seed size, viability, and beneficial effect on seedling growt","Ecotropica",2012,"http://onja.rice.edu/files/2012/09/2012-Razafindratsima-and-Martinez-Seed-dispersal-by-red-ruffed-lemurs-seed-size-viability-and-beneficial-effect-on-seedling-growth.pdf","redruffed lemur (Varecia rubra)","Cryptocarya sp., Eugenia cloiselii, Gaertnera sp., Garcinia verrucosa, Machpersonia madagascaraiensis, Noronhia grandifolia, Potameia sp., Sideroxylon sp., Uapaca silvestris","Madagascar","Madagascar","Island","Old World","Island","no","yes","Ingestion increased germination"
"171","Rost, J. Basic and Applied Ecology 2012","Rost, J.","Seed dispersal by carnivorous mammals into burnt forests: An opportunity for non-indigenous and cultivated plant species","Basic and Applied Ecology",2012,"http://www.sciencedirect.com/science/article/pii/S1439179112000965","Red fox","Mediterranean hackberry (Celtis australis)","Spain","Spain","Mainland","Old World","Mainland","no","yes","Ingestion decreased germination, but didn't kill the seed"
"172","Sato, H. Biotropica 2012","Sato, H.","Frugivory and seed dispersal by brown lemurs in a Malagasy tropical dry forest","Biotropica",2012,"http://onlinelibrary.wiley.com/doi/10.1111/j.1744-7429.2011.00838.x/full","common brown lemur (Eulemur fulvus fulvus)","Strychnos madagascariensis, Vitex beraviensis, Cinnamosma fragrans, Menispermacea casmenthera, Poupartia silvatica, Protorhus de<U+FB02>exa, Vangueria madagascariensis, Berchemia discolor , Evonymopsis sp.1, Mapouria boinensis, Olax madagascariensis, Vitex pervillei","Ankarafantsika National Park,northwestern Madagascar","Madagascar","Mainland","Old World","Mainland","no","yes","The rate and time of seed germination in V. beraviensis were improved by passage through brown lemur guts."
"173","Braun, J. The American Midland Naturalist 1987","Braun, J. ","Box turtles (Terrapene carolina) as potential agents for seed dispesal
","The American Midland Naturalist",1987,"http://www.jstor.org/stable/2425973?seq=1#page_scan_tab_contents","Box Turtles (Terrapene carolina)","Arisaema triphyllum, podophyllum peltatum, Sambucus candensis, Viburnum acerifolium, Faylussacia baccata, Vaccinium vacillans, Morus alba, Passiflora incarnata, Phytolaccca americana, Duchesnea indica, Fragaria virginiana, Prunus serotina, Rosa multiflora, Rubus phoenicolasius, Rubus spp. (Blackberry), Vitis aestivalis, Vitis rotundifolia, Vitis vulpina","U.S.","United States","Mainland","New World","Mainland","yes","yes","Ingestion helped to shorter certain species germination times, but had no effect on others. "
"174","Traveset, A. Oikos 1997","Traveset, A. ","Effects of birds and bears on seed germination in the temperate rainforests of Southeast Alaska","Oikos",1997,"http://www.jstor.org.proxy.lib.iastate.edu/stable/3546519?origin=crossref&seq=1#page_scan_tab_contents","brown bears (Ursus arctos), black bears (Ursus americanus), American robins (Turdus migratorius), varied thrushes (Ixoreus naevius)","Rubus spectabilis (Rosaceae), Sambucus racemosa  (Caprifoliaceae), Ribes bracteosum  (Saxifragaceae), Streptopus amplexifolius  (Liliaceae), Oplopanax horridus (Araliaceae). Vaccinium spp. (Ericaceae)","Juneau, Alaska","United States","Mainland","New World","Mainland","yes","yes","Ingestion helped aid germination in most species. Retention time also had no effect"
"175","Gervais, J. The American Midland Naturalist 1998","Gervais, J.","The Potential for Seed Dispersal by the Banana Slug (Ariolimax columbianus)","The American Midland Naturalist",1998,"http://www.bioone.org/doi/abs/10.1674/0003-0031(1998)140%5B0103:TPFSDB%5D2.0.CO%3B2","banana slugs (Ariolimax columbianus)","Rubus spectabilis, Rubus discolor, Vaccinium ovatum, Vaccinium parvifolium, Gaultheria shallon, Disporum smithii","Pacific Northwest of the U.S.","United States","Mainland","New World","Mainland","yes","yes","Ingestion had a slight effect, increasing some germination and lowering other seeds' germination"
"176","Zeul N Journal of Biogeography 2012","Zeul N","Ingestion by an endemic frugivore enhances seed germination of endemic plant species but decreases seedling survival of exotics","Journal of Biogeography",2012,"http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2699.2012.02694.x/full","Telfair’s skink (Leiolopisma telfairii)","Lomatophyllum tormentorii Marais, Myoporum mauritianum, Dracaena concinna, Hilsenbergia petiolaris , Premna serratifolia L., Scaevola taccada, Passiflora suberosa,  Solanum nigrum  ","Round Island, Mauritius","Mauritius","Island","Old World","Island","no","yes","ingested indigenous seeds were more likely to germinate and the seedlings more likely to survive than ingested exotic seeds and seedlings"
"177","Alber, A. International Journal of Primatology 2013","Alber, A.","Frugivory and Seed Dispersal by Northern Pigtailed Macaques (Macaca leonina), in Thailand","International Journal of Primatology",2013,"http://link.springer.com/article/10.1007/s10764-012-9649-5","Northern pigtailed macaques (Macaca leonina)","Alpinia malaccensis, Anthocephalus chinensis, Baccaurea ramiflora, Diplectia barbata, Eurya nitida, Ficus ischnopoda, Ficus microcarpa, Ficus sagittata, Ficus virens, Melastoma malabathricum, Nauclea orientalis, Toddalia asiatica, ","Thailand","Thailand","Mainland","Old World","Mainland","no","yes","Of 21 species, the effect of swallowing and spitting was positive for two species (i.e., processed seeds had a higher % germination and % viability than control seeds), neutral for 13 species (no difference in % germination or viability), and negative (processed seeds had lower % germination and viability) for five species. For the final species, the effect was neutral for spat-out seeds but negative for swallowed seeds."
"178","Baeaune American Journal of Primatology 2013","Baeaune","The Bonobo–Dialium Positive Interactions: Seed Dispersal Mutualism","American Journal of Primatology",2013,"http://onlinelibrary.wiley.com/doi/10.1002/ajp.22121/pdf","bonobo, human","Dialium spp.","Solanga National Park, Democratic Republic of the Congo","Democratic Republic of the Congo","Mainland","Old World","Mainland","no","yes","None of the seeds that weren't ingested germinated"
"179","Meyer, G. The American Midland Naturalist 1998","Meyer, G.","Influence of Seed Processing by Frugivorous Birds on Germination Success of Three North American Shrubs","The American Midland Naturalist",1998,"http://www.bioone.org/doi/abs/10.1674/0003-0031(1998)140%5B0129:IOSPBF%5D2.0.CO%3B2","cedar waxwings (Bombycilla cedrorum), Turdus migratorius, Hylocichla mustelina, Catharus guttatus, Catharus minimus","spicebush (Lindera benzoin), chokecherry (Prunus virginiana), arrowwood (Viburnum dentatum)","Eastern U.S.","United States","Mainland","New World","Mainland","yes","yes","Ingestion had no effect on germination"
"180","Traveset, A. Evolutionary Ecology 1998","Traveset, A. ","Ecology of the fruit-colour polymorphism in Rubus spectabilis","Evolutionary Ecology",1998,"http://download.springer.com.proxy.lib.iastate.edu/static/pdf/300/art%253A10.1023%252FA%253A1006504317585.pdf?originUrl=http%3A%2F%2Flink.springer.com%2Farticle%2F10.1023%2FA%3A1006504317585&token2=exp=1456196103~acl=%2Fstatic%2Fpdf%2F300%2Fart%25253A10.1023%25252FA%25253A1006504317585.pdf%3ForiginUrl%3Dhttp%253A%252F%252Flink.springer.com%252Farticle%252F10.1023%252FA%253A1006504317585*~hmac=4d7e167570d75d9b57319a70845671c1d773335f9853374950d0c2d2d545436a","brown bears (Ursus arctos), black bears (Ursus americanus), American robins (Turdus migratorius), varied thrushes (Ixoreus naevius)","Rubus spectabilis","Juneau, Alaska","United States","Mainland","New World","Mainland","yes","yes","Ingestion had similar effects on both color morphs, so ingestion doesn't explain the dimorphism"
"181","Hickney, J. Oikos 1999","Hickney, J.","An Evaluation of a Mammalian Predator, Martes americana, as a Disperser of Seeds","Oikos",1999,"http://www.jstor.org/stable/3546814?seq=1#page_scan_tab_contents","American Marten (Martes americana)","Vaccinium alaskaense, Vaccinium ovalifolium, Rubus spectabilis","Alaska","United States","Mainland","New World","Mainland","yes","yes","Ingestion increased germination"
"182","Dunstan EMU 2013","Dunstan ","Dietary characteristics of Emus (Dromaius novaehollandiae) in semi-arid New South Wales, Australia, and dispersal and germination of ingested seeds","EMU",2013,"http://www.publish.csiro.au/?paper=MU12061","Emus (Dromaius novaehollandiae)"," Belah (Casuarina pauper), Ruby Saltbush (Enchylaena tomentosa), Common Emu-bush (Eremophila glabra), Nitre-bush (Nitraria billardierei)","New South Wales, Australia","Australia","Mainland","Old World","Mainland","no","yes"," Seeds of Common Emu-bush, Berrigan (Eremophila longifolia) and Sweet Quandong (Santalum acuminatum) showed no germination after passage through the gut. Ruby Saltbush and Nitre-bush showed very low germination rates"
"183","Escribano-Ávila, G. Ecology and Evolution 2013","Escribano-Ávila, G.","Spanish juniper gain expansion opportunities by counting on a functionally diverse dispersal assemblage community","Ecology and Evolution",2013,"http://onlinelibrary.wiley.com/doi/10.1002/ece3.753/full","red fox (Vulpes vulpes), stone marten (Martes foina), Turdus viscivorus, Turdus philomelos, Turdus merula, Turdus iliacus, Turdus pilaris","Spanish juniper (Juniperus thurifera)","Guadalajara province, central Spain","Spain","Mainland","Old World","Mainland","no","yes","Ingestion hurt germination by a little"
